municipality_name|municipality_id|comerce_transport_catering|communication|construction|finances_insurance|industry|personal_services|professional_tecnical_activities|real_estate|social_services|total|total_services
Ababuj|44001||||||||||4.0|
Abades|40001||||||||||48.0|
Abadiño|48001|153.0|4.0|64.0|4.0|80.0|44.0|60.0|7.0|38.0|454.0|157.0
Abadía|10001||||||||||15.0|
Abadín|27001|55.0||18.0||8.0|||||111.0|30.0
Abaltzisketa|20001||||||||||22.0|
Abanilla|30001|155.0||59.0||44.0|18.0|38.0|16.0|14.0|349.0|91.0
Abanto y Ciérvana-Abanto Zierbena|48002|235.0|4.0|112.0|13.0|74.0|50.0|52.0|7.0|33.0|580.0|159.0
Abarán|30002|273.0|7.0|71.0|15.0|51.0|60.0|62.0|23.0|44.0|606.0|211.0
Abaurregaina/Abaurrea Alta|31003||||||||||6.0|
Abaurrepea/Abaurrea Baja|31004||||||||||4.0|
Abegondo|15001|122.0||95.0||28.0|37.0|53.0|8.0|21.0|369.0|124.0
Abejar|42001||||||||||19.0|
Abella de la Conca|25001||||||||||8.0|
Abengibre|2001||||||||||50.0|
Abenójar|13001|26.0||9.0||8.0|||||61.0|18.0
Aberin|31005||||||||||23.0|
Abertura|10002||||||||||13.0|
Abezames|49002||||||||||4.0|
Abia de las Torres|34003||||||||||9.0|
Abiego|22001||||||||||23.0|
Abizanda|22002||||||||||11.0|
Abla|4001|39.0||8.0||5.0|||||63.0|11.0
Ablitas|31006|45.0||30.0||8.0|||||112.0|29.0
Abrera|8001|304.0|17.0|86.0|13.0|70.0|67.0|98.0|50.0|42.0|747.0|287.0
Abrucena|4002|29.0||9.0||9.0|||||55.0|8.0
Abusejo|37001||||||||||5.0|
Abáigar|31001||||||||||4.0|
Abánades|19001||||||||||4.0|
Abárzuza/Abartzuza|31002||||||||||40.0|
Acebeda, La|28001||||||||||6.0|
Acebedo|24001||||||||||9.0|
Acebo|10003||||||||||52.0|
Acebrón, El|16002||||||||||7.0|
Acedera|6001||||||||||26.0|
Acehúche|10004||||||||||50.0|
Aceituna|10005||||||||||23.0|
Acered|50002||||||||||7.0|
Aceuchal|6002|212.0|5.0|55.0|4.0|28.0|19.0|24.0|4.0|12.0|363.0|68.0
Adahuesca|22003||||||||||10.0|
Adamuz|14001|95.0||23.0||17.0|||||188.0|53.0
Adanero|5001||||||||||9.0|
Adeje|38001|2033.0|104.0|452.0|82.0|95.0|528.0|963.0|509.0|248.0|5014.0|2434.0
Ademuz|46001|30.0||21.0||6.0|||||72.0|15.0
Adiós|31007||||||||||4.0|
Ador|46002|33.0||19.0||5.0|||||86.0|29.0
Adra|4003|623.0|6.0|240.0|26.0|61.0|118.0|139.0|51.0|73.0|1337.0|413.0
Adrada de Haza|9003||||||||||14.0|
Adrada, La|5002|80.0||47.0||8.0|||||191.0|56.0
Adradas|42003||||||||||6.0|
Adrados|40003||||||||||5.0|
Aduna|20002||||||||||80.0|
Agaete|35001|96.0||23.0||13.0|29.0|34.0|6.0|16.0|222.0|90.0
Agallas|37002||||||||||6.0|
Agolada|36020|57.0||25.0||15.0|||||132.0|35.0
Agoncillo|26002|38.0||11.0||23.0|||||101.0|29.0
Agost|3002|157.0||50.0||38.0|||||334.0|89.0
Agramunt|25003|172.0||68.0||36.0|37.0|51.0|37.0|34.0|444.0|168.0
Agres|3003||||||||||37.0|
Agrón|18001||||||||||6.0|
Aguadulce|41001|53.0||17.0||10.0|||||115.0|35.0
