qid|tags
Q13153|['most_picturesque', 'best_climate', 'interesting_historic_buildings', 'best_for_expats', 'good_healthcare', 'good_for_hiking', 'clean', 'socialize', 'camping', 'good_for_families', 'beautiful_nature']
Q23979825|['most_picturesque', 'best_climate', 'interesting_historic_buildings', 'best_for_expats', 'good_healthcare', 'good_for_hiking', 'clean', 'socialize', 'camping', 'good_for_families', 'beautiful_nature']
Q492744|['most_picturesque', 'best_climate', 'low_cost_of_living_high_life_quality', 'best_for_expats', 'good_healthcare', 'clean', 'retire', 'socialize', 'good_for_families', 'beautiful_nature']
Q24012587|['most_picturesque', 'best_climate', 'low_cost_of_living_high_life_quality', 'best_for_expats', 'good_healthcare', 'clean', 'retire', 'socialize', 'good_for_families', 'beautiful_nature']
Q637863|['most_picturesque', 'best_climate', 'best_for_expats', 'no_mosquitos', 'good_for_families']
Q24011952|['most_picturesque', 'best_climate', 'best_for_expats', 'no_mosquitos', 'good_for_families']
Q280346|['most_picturesque', 'good_for_climbing', 'good_for_hiking', 'camping']
Q913483|['most_picturesque', 'best_for_expats', 'socialize', 'good_for_families', 'beautiful_nature']
Q1046804|['most_picturesque', 'best_for_expats', 'socialize', 'good_for_families', 'beautiful_nature']
Q24012610|['most_picturesque', 'best_for_expats', 'socialize', 'good_for_families', 'beautiful_nature']
Q31748768|['most_picturesque', 'best_for_expats', 'socialize', 'good_for_families', 'beautiful_nature']
Q97628187|['most_picturesque', 'best_for_expats', 'socialize', 'good_for_families', 'beautiful_nature']
Q222702|['most_picturesque', 'best_climate', 'good_for_surfing', 'good_for_surfing', 'good_for_surfing', 'good_for_surfing', 'clean', 'clean', 'no_mosquitos', 'camping', 'good_for_families']
Q31925095|['most_picturesque', 'best_climate', 'good_for_surfing', 'good_for_surfing', 'good_for_surfing', 'good_for_surfing', 'clean', 'clean', 'no_mosquitos', 'camping', 'good_for_families']
Q51600977|['most_picturesque', 'best_climate', 'good_for_surfing', 'good_for_surfing', 'good_for_surfing', 'good_for_surfing', 'clean', 'clean', 'no_mosquitos', 'camping', 'good_for_families']
Q110689238|['most_picturesque', 'best_climate', 'good_for_surfing', 'good_for_surfing', 'good_for_surfing', 'good_for_surfing', 'clean', 'clean', 'no_mosquitos', 'camping', 'good_for_families']
Q827393|['most_picturesque', 'best_climate', 'good_healthcare', 'good_for_surfing', 'good_for_surfing', 'good_for_surfing', 'clean', 'good_for_families']
Q24011924|['most_picturesque', 'best_climate', 'good_healthcare', 'good_for_surfing', 'good_for_surfing', 'good_for_surfing', 'clean', 'good_for_families']
Q832949|['most_picturesque', 'good_healthcare']
Q24011942|['most_picturesque', 'good_healthcare']
Q944137|['most_picturesque', 'low_cost_of_living_high_life_quality', 'best_for_expats', 'socialize', 'good_for_families', 'beautiful_nature']
Q24012599|['most_picturesque', 'low_cost_of_living_high_life_quality', 'best_for_expats', 'socialize', 'good_for_families', 'beautiful_nature']
Q572041|['most_picturesque', 'clean', 'no_mosquitos']
Q293099|['most_picturesque']
Q1588135|['most_picturesque', 'on_island']
Q3362476|['most_picturesque', 'on_island']
Q2264368|['most_picturesque', 'on_island']
Q2000517|['most_picturesque', 'most_friendly_locals', 'low_cost_of_living_high_life_quality', 'good_for_sailing', 'best_beaches', 'best_beaches', 'best_beaches', 'best_beaches', 'on_island', 'clean']
