village_id|postalcodes
ALEGRÍA-DULANTZI;00|00240
ALEGRÍA-DULANTZI;01|01193
AMURRIO;01|01450,01468,01470
ARAMAIO;01|01160,01165,01169
ARTZINIEGA;01|01474,01478
ARMIÑÓN;01|01211,01220
ARRATZUA-UBARRUNDIA;01|01510,01520
ASPARRENA;01|01208,01250,01260
AYALA/AIARA;01|01408,01470,01476,01477,01478,01479
BAÑOS DE EBRO/MAÑUETA;01|01307
BARRUNDIA;01|01206,01208
BERANTEVILLA;01|01211,01212,01220,01121
BERNEDO;01|01118,01128,01194,01216
CAMPEZO/KANPEZU;01|01110,01117,01128
ZIGOITIA;01|01138,01196
KRIPAN;01|01308
KUARTANGO;01|01430,01439
ELBURGO/BURGELU;01|01192,01193
ELCIEGO;01|01340
ELVILLAR/BILAR;01|01309
IRURAIZ-GAUNA;01|01193,01206,01207
LABASTIDA/BASTIDA;01|01012,01212,01330
LAGRÁN;01|01118,01211
LAGUARDIA;01|01300,01308,01309,01321
LANCIEGO/LANTZIEGO;01|01308
LAPUEBLA DE LABARCA;01|01306
LEZA;01|01309
LAUDIO/LLODIO;01|01400
ARRAIA-MAEZTU;01|01120,01128,01129
MOREDA DE ÁLAVA/MOREDA ARABA;01|01322
NAVARIDAS;01|01309
OKONDO;01|01409
OYÓN-OION;01|01320,01322
PEÑACERRADA-URIZAHARRA;01|01211,01212,01216
ERRIBERAGOITIA/RIBERA ALTA;01|01213,01220,01420,01423,01426,01428
RIBERA BAJA/ERRIBERA BEITIA;01|01213,01220
AÑANA;01|01423,01426
AGURAIN/SALVATIERRA;01|01200,01207
SAMANIEGO;01|01307
SAN MILLÁN/DONEMILIAGA;01|01207,01208
URKABUSTAIZ;01|01440,01449,01450
VALDEGOVÍA/GAUBEA;01|01423,01426,01427,01428
HARANA/VALLE DE ARANA;01|01117
VILLABUENA DE ÁLAVA/ESKUERNAGA;01|01307
LEGUTIO;01|01170,01171,01510
VITORIA-GASTEIZ;01|01001,01002,01003,01004,01005,01006,01007,01008,01009,01010,01012,01013,01015,01191,01192,01193,01194,01195,01196,01510,01520
YÉCORA/IEKORA;01|01322
ZALDUONDO;01|01208
ZAMBRANA;01|01212
ZUIA;01|01130,01139,01450
IRUÑA OKA/IRUÑA DE OCA;01|01191,01195,01230,01428
LANTARÓN;01|01213,01423
ABENGIBRE;02|02250
ALATOZ;02|02152
ALBACETE;02|02001,02002,02003,02004,02005,02006,02008,02049,02071,02099,02140,02155,02328,02511,02512
ALBATANA;02|02653
ALBOREA;02|02215
ALCADOZO;02|02124,02128
ALCALÁ DEL JÚCAR;02|02210,02211,02214,02252
ALCARAZ;02|02300,02312,02314,02330
ALMANSA;02|02640
ALPERA;02|02690
AYNA;02|02124,02125,02126,02139,02999
BALAZOTE;02|02320
BALSA DE VES;02|02213,02214
EL BALLESTERO;02|02614
BARRAX;02|02639
BIENSERVIDA;02|02360
BOGARRA;02|02130,02138,02139,02448
BONETE;02|02691
EL BONILLO;02|02610,02613
CARCELÉN;02|02153
CASAS DE JUAN NÚÑEZ;02|02151
CASAS DE LÁZARO;02|02329
CASAS DE VES;02|02212
CASAS-IBÁÑEZ;02|02200
CAUDETE;02|02660
CENIZATE;02|02247
CORRAL-RUBIO;02|02693
COTILLAS;02|02461
CHINCHILLA DE MONTE-ARAGÓN;02|02156,02510,02520,02529,02692,02695
ELCHE DE LA SIERRA;02|02430,02439,02449,02470
FÉREZ;02|02436
FUENSANTA;02|02637
FUENTE-ÁLAMO;02|02651
FUENTEALBILLA;02|02249,02251,02260
LA GINETA;02|02110
