postalcodes|municipality_id|province|municipality|population|population_men|population_women|name|village_id
36308|36003|36|3|233|113|120|A.fontán|A.FONTÁN;36003
15177|15058|15|58|160|83|77|Aba|ABA;15058
44155|44001|44|1|69|40|29|Ababuj|ABABUJ;44001
36330,36392|36057|36|57|60|32|28|Abad|ABAD;36057
24891|24076|24|76|33|18|15|Abadengo de Torío|ABADENGO DE TORÍO;24076
36589|36052|36|52|34|11|23|Abades|ABADES;36052
40141|40001|40|1|835|417|418|Abades|ABADES;40001
09586|9410|9|410|0|0|0|Abadía (la)|ABADÍA (LA);09410
39626,39694|39074|39|74|560|277|283|Abadilla (la)|ABADILLA (LA);39074
48220|48001|48|1|1534|771|763|Abadiño-zelaieta|ABADIÑO-ZELAIETA;48001
48220|48001|48|1|7618|3829|3789|Abadiño|ABADIÑO;48001
10748|10001|10|1|359|193|166|Abadía|ABADÍA;10001
27730,27737,27738,27843,27845,27849|27001|27|1|113|55|58|Abadín|ABADÍN;27001
27730,27737,27738,27843,27845,27849|27065|27|65|21|11|10|Abadín|ABADÍN;27065
27730,27737,27738,27843,27845,27849|27065|27|65|38|17|21|Agadín|AGADÍN;27065
36526|36020|36|20|22|11|11|Abaixo|ABAIXO;36020
09141,09592|9001|9|1|29|19|10|Abajas|ABAJAS;09001
18750|18162|18|162|86|42|44|Abajo|ABAJO;18162
33559|33045|33|45|76|40|36|Aballe|ABALLE;33045
20269|20001|20|1|101|54|47|Abaltzisketa|ABALTZISKETA;20001
38687|38019|38|19|0|0|0|Abama|ABAMA;38019
33814|33011|33|11|25|12|13|Abanceña|ABANCEÑA;33011
42369|42035|42|35|1|1|0|Abanco|ABANCO;42035
30626,30640,30648,30649|30001|30|1|3066|1507|1559|Abanilla|ABANILLA;30001
39549|39095|39|95|66|37|29|Abanillas|ABANILLAS;39095
24397|24123|24|123|25|11|14|Abano|ABANO;24123
15938|15011|15|11|191|89|102|Abanqueiro|ABANQUEIRO;15011
