picture|significant_events|wiki_population|wiki_male|wiki_female|elevation|area|postalcode|munid|ine_mun_code|native_label|demonym|located_in|next_to_sea|itemLabel|pictures|name|lat|long|qid|village_id|Entity|QRank
http://commons.wikimedia.org/wiki/Special:FilePath/Escudo%20de%20Librilla.svg||5351.0|2728|2577|178|56,5.65|30892|http://www.wikidata.org/entity/Q5772|30023||Libriller, librillera|http://www.wikidata.org/entity/Q5772||Librilla|http://commons.wikimedia.org/wiki/Special:FilePath/Escudo%20de%20Librilla.svg,http://commons.wikimedia.org/wiki/Special:FilePath/Librilla.JPG|Librilla|37.883055555|-1.35|Q1010250|Librilla;30023;30892|Q1010250|6508.0
http://commons.wikimedia.org/wiki/Special:FilePath/Villalcazar%20de%20la%20Sirga%20-%20part2.jpg||168.0|88|84|808|25|34449|http://www.wikidata.org/entity/Q55269|34215|||http://www.wikidata.org/entity/Q55269||Villalcázar de Sirga|http://commons.wikimedia.org/wiki/Special:FilePath/Villalcazar%20de%20la%20Sirga%20-%20part2.jpg|Villalcázar de Sirga|42.316666666|-4.543055555|Q1010261|Villalcázar de Sirga;34215;34449|Q1010261|10623.0
http://commons.wikimedia.org/wiki/Special:FilePath/Moncada.%20Centro%20art%C3%ADstico%20musical.JPG||21875.0|10706|11229|37|15.6|46116|http://www.wikidata.org/entity/Q2298465|46171|Montcada|Montcadí, montcadina|http://www.wikidata.org/entity/Q2298465||Moncada|http://commons.wikimedia.org/wiki/Special:FilePath/Moncada.%20Centro%20art%C3%ADstico%20musical.JPG|Moncada|39.533333333|-0.383333333|Q1010291|Moncada;46171;46116|Q1010291|40920.0
http://commons.wikimedia.org/wiki/Special:FilePath/Museros.%20Ajuntament%202.jpg||6618.0|3253|3205|12|12.4|46136|http://www.wikidata.org/entity/Q54939,http://www.wikidata.org/entity/Q2298465|46177||Muserenc, muserenca|http://www.wikidata.org/entity/Q54939,http://www.wikidata.org/entity/Q2298465||Museros|http://commons.wikimedia.org/wiki/Special:FilePath/Museros.%20Ajuntament%202.jpg|Museros|39.565833333|-0.341111111|Q1010314|Museros;46177;46136|Q1010314|2036.0
http://commons.wikimedia.org/wiki/Special:FilePath/Fuente%20%28El%20Palmar%29.jpg||2340.0|1165|1175|117||41719|http://www.wikidata.org/entity/Q753825|41904|||http://www.wikidata.org/entity/Q753825||El Palmar de Troya|http://commons.wikimedia.org/wiki/Special:FilePath/Fuente%20%28El%20Palmar%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Iglesia%20de%20Nuestra%20Se%C3%B1ora%20del%20Carmen.jpg|El Palmar de Troya|37.063280555|-5.806319444|Q1011422|El Palmar de Troya;41904;41719|Q1011422|77215.0
http://commons.wikimedia.org/wiki/Special:FilePath/Garcihernandez%2C%20Iglesia%20San%20Juan%20Bautista%2C%202.jpg||427.0|236|213|814|48|37810|http://www.wikidata.org/entity/Q71080|37148||garcihernandéños|http://www.wikidata.org/entity/Q71080||Garcihernández|http://commons.wikimedia.org/wiki/Special:FilePath/Garcihernandez%2C%20Iglesia%20San%20Juan%20Bautista%2C%202.jpg|Garcihernández|40.860277777|-5.4325|Q1012957|Garcihernández;37148;37810|Q1012957|2675.0
http://commons.wikimedia.org/wiki/Special:FilePath/Plaza%20Mayor%2C%20La%20Alberca.JPG||1065.0|527|554|1048|61|37624|http://www.wikidata.org/entity/Q71080|37010||albercano,albercana|http://www.wikidata.org/entity/Q71080||La Alberca|http://commons.wikimedia.org/wiki/Special:FilePath/Plaza%20Mayor%2C%20La%20Alberca.JPG|La Alberca|40.489166666|-6.111111111|Q1012961|La Alberca;37010;37624|Q1012961|62966.0
http://commons.wikimedia.org/wiki/Special:FilePath/RedecillaDelCaminoSAM%207462.jpg||104.0|73|42|741|12|09259|http://www.wikidata.org/entity/Q55271|09307|||http://www.wikidata.org/entity/Q55271||Redecilla del Camino|http://commons.wikimedia.org/wiki/Special:FilePath/RedecillaDelCaminoSAM%207462.jpg|Redecilla del Camino|42.438055555|-3.065|Q1012965|Redecilla del Camino;09307;09259|Q1012965|3111.0
http://commons.wikimedia.org/wiki/Special:FilePath/Rab%C3%A9%20de%20las%20Calzadas%20plaza.jpg||232.0|110|110|831|10.107|09130|http://www.wikidata.org/entity/Q55271|09304|Rabé de las Calzadas||http://www.wikidata.org/entity/Q55271||Rabé de las Calzadas|http://commons.wikimedia.org/wiki/Special:FilePath/Rab%C3%A9%20de%20las%20Calzadas%20plaza.jpg|Rabé de las Calzadas|42.34|-3.834166666|Q1012982|Rabé de las Calzadas;09304;09130|Q1012982|2944.0
http://commons.wikimedia.org/wiki/Special:FilePath/Pedraza-vista-%28DavidDaguerro%29.jpg||342.0|196|148|1068|31.58|40172|http://www.wikidata.org/entity/Q55283|40156|||http://www.wikidata.org/entity/Q55283||Pedraza|http://commons.wikimedia.org/wiki/Special:FilePath/Pedraza-vista-%28DavidDaguerro%29.jpg|Pedraza|41.130277777|-3.811111111|Q1013497|Pedraza;40156;40172|Q1013497|51061.0
http://commons.wikimedia.org/wiki/Special:FilePath/Cieza%20vista%20general%20desde%20huerta.jpg||35301.0|17533|17455|188|365.1|30530|http://www.wikidata.org/entity/Q478498|30019||Ciezano, ciezana|http://www.wikidata.org/entity/Q478498||Cieza|http://commons.wikimedia.org/wiki/Special:FilePath/Cieza%20vista%20general%20desde%20huerta.jpg|Cieza|38.2391225|-1.4189731|Q1014709|Cieza;30019;30530|Q1014709|46005.0
