distance|iqid|vqid|maxradius
25.654|Q11931721|Q11918302|30.0
28.859|Q11952638|Q11918302|30.0
28.55|Q11952791|Q11918302|30.0
26.12|Q11952850|Q11918302|30.0
29.541|Q11952863|Q11918302|30.0
27.564|Q17482985|Q11918302|30.0
26.015|Q11930374|Q11918302|30.0
26.537|Q11937931|Q11918302|30.0
25.375|Q11937940|Q11918302|30.0
27.136|Q11941796|Q11918302|30.0
26.682|Q17481193|Q11918302|30.0
21.63|Q17482129|Q11918302|30.0
25.299|Q11931585|Q11918302|30.0
29.589|Q11931672|Q11918302|30.0
27.472|Q11933835|Q11918302|30.0
29.961|Q11943589|Q11918302|30.0
28.102|Q11949319|Q11918302|30.0
28.015|Q11949363|Q11918302|30.0
29.847|Q11952871|Q11918302|30.0
27.729|Q17481884|Q11918302|30.0
27.019|Q17482053|Q11918302|30.0
27.356|Q17483822|Q11918302|30.0
29.348|Q11943420|Q11918302|30.0
28.725|Q11952801|Q11918302|30.0
26.499|Q11952888|Q11918302|30.0
26.747|Q17482044|Q11918302|30.0
26.103|Q17482969|Q11918302|30.0
19.59|Q11943389|Q11918302|30.0
29.446|Q11943929|Q11918302|30.0
28.972|Q11944037|Q11918302|30.0
27.35|Q11953474|Q11918302|30.0
29.811|Q11953511|Q11918302|30.0
29.626|Q17481195|Q11918302|30.0
18.351|Q17481265|Q11918302|30.0
29.514|Q17482600|Q11918302|30.0
29.768|Q17483862|Q11918302|30.0
13.151|Q11952628|Q11918302|30.0
14.968|Q11952692|Q11918302|30.0
14.599|Q11952804|Q11918302|30.0
15.797|Q17482396|Q11918302|30.0
14.965|Q17482884|Q11918302|30.0
21.721|Q11948361|Q11918302|30.0
29.818|Q11952653|Q11918302|30.0
22.546|Q11952856|Q11918302|30.0
21.624|Q17481224|Q11918302|30.0
22.96|Q17482521|Q11918302|30.0
26.051|Q23999176|Q11918302|30.0
22.346|Q7856611|Q11918302|30.0
22.273|Q11937451|Q11918302|30.0
28.549|Q11945975|Q11918302|30.0
23.811|Q11952598|Q11918302|30.0
27.534|Q17481409|Q11918302|30.0
18.007|Q17481832|Q11918302|30.0
23.807|Q17483381|Q11918302|30.0
23.146|Q11947695|Q11918302|30.0
27.254|Q11952826|Q11918302|30.0
29.323|Q17481233|Q11918302|30.0
23.81|Q17481528|Q11918302|30.0
25.561|Q17481685|Q11918302|30.0
21.853|Q17482034|Q11918302|30.0
22.362|Q17482973|Q11918302|30.0
19.608|Q17483105|Q11918302|30.0
25.572|Q17483355|Q11918302|30.0
20.023|Q23992072|Q11918302|30.0
11.628|Q11918397|Q11918302|30.0
15.656|Q17483353|Q11918302|30.0
2.722|Q11933989|Q11918302|30.0
16.837|Q11952642|Q11918302|30.0
4.801|Q11952762|Q11918302|30.0
18.646|Q11952807|Q11918302|30.0
11.655|Q11952657|Q11918302|30.0
4.019|Q11952789|Q11918302|30.0
1.391|Q11952839|Q11918302|30.0
1.534|Q11952841|Q11918302|30.0
13.538|Q11953537|Q11918302|30.0
