qid|tags
Q1999047|['most_picturesque']
Q2301875|['most_picturesque']
Q20963720|['most_picturesque', 'best_schools', 'retire', 'skydiving']
Q449526|['most_picturesque', 'best_climate', 'best_schools', 'interesting_historic_buildings', 'camping']
Q1808151|['most_picturesque', 'best_climate', 'best_schools', 'interesting_historic_buildings', 'camping']
Q454875|['most_picturesque', 'most_friendly_locals', 'best_schools', 'interesting_historic_buildings', 'good_internet', 'good_healthcare', 'good_food', 'no_mosquitos', 'skiing', 'retire', 'camping', 'beautiful_nature']
Q31880915|['most_picturesque', 'most_friendly_locals', 'best_schools', 'interesting_historic_buildings', 'good_internet', 'good_healthcare', 'good_food', 'no_mosquitos', 'skiing', 'retire', 'camping', 'beautiful_nature']
Q699141|['most_picturesque', 'best_climate', 'retire']
Q2199440|['most_picturesque', 'best_climate', 'retire']
Q31249933|['most_picturesque', 'best_climate', 'retire']
Q634164|['most_picturesque', 'best_climate', 'live_well_without_car', 'interesting_historic_buildings', 'clean']
Q2351599|['most_picturesque', 'best_climate', 'live_well_without_car', 'interesting_historic_buildings', 'clean']
Q804064|['most_picturesque', 'best_climate', 'best_schools', 'least_crime', 'live_well_without_car', 'interesting_historic_buildings', 'camping']
Q213242|['most_picturesque', 'best_climate', 'best_schools', 'least_crime', 'interesting_historic_buildings', 'good_internet', 'good_healthcare', 'camping']
Q807927|['most_picturesque', 'best_climate', 'best_schools', 'least_crime', 'interesting_historic_buildings', 'good_internet', 'good_healthcare', 'camping']
Q213251|['most_picturesque', 'best_climate', 'best_schools', 'low_cost_of_living_high_life_quality', 'interesting_historic_buildings', 'good_internet', 'best_beaches', 'retire', 'socialize', 'camping', 'good_business', 'beautiful_nature']
Q321455|['most_picturesque', 'best_climate', 'best_schools', 'low_cost_of_living_high_life_quality', 'interesting_historic_buildings', 'good_internet', 'best_beaches', 'retire', 'socialize', 'camping', 'good_business', 'beautiful_nature']
Q83247|['most_picturesque', 'best_climate', 'most_friendly_locals', 'best_schools', 'low_cost_of_living_high_life_quality', 'job_opportunities', 'interesting_historic_buildings', 'best_for_expats', 'good_internet', 'good_healthcare', 'good_for_sailing', 'good_food', 'no_mosquitos', 'socialize', 'camping', 'skydiving', 'good_business', 'for_young_people', 'beautiful_nature']
Q326203|['most_picturesque', 'best_climate', 'most_friendly_locals', 'best_schools', 'low_cost_of_living_high_life_quality', 'job_opportunities', 'interesting_historic_buildings', 'best_for_expats', 'good_internet', 'good_healthcare', 'good_for_sailing', 'good_food', 'no_mosquitos', 'socialize', 'camping', 'skydiving', 'good_business', 'for_young_people', 'beautiful_nature']
Q3344946|['most_picturesque', 'best_climate', 'most_friendly_locals', 'best_schools', 'low_cost_of_living_high_life_quality', 'job_opportunities', 'interesting_historic_buildings', 'best_for_expats', 'good_internet', 'good_healthcare', 'good_for_sailing', 'good_food', 'no_mosquitos', 'socialize', 'camping', 'skydiving', 'good_business', 'for_young_people', 'beautiful_nature']
Q275689|['most_picturesque', 'best_climate', 'best_schools', 'least_crime', 'interesting_historic_buildings', 'good_internet', 'good_healthcare', 'good_food', 'clean', 'bird_watching', 'hipster', 'retire', 'camping', 'good_business', 'beautiful_nature']
Q986079|['most_picturesque', 'best_climate', 'least_crime', 'clean', 'good_english', 'bird_watching', 'hipster', 'retire', 'camping', 'good_for_families']
Q1854919|['most_picturesque', 'best_climate', 'least_crime', 'clean', 'good_english', 'bird_watching', 'hipster', 'retire', 'camping', 'good_for_families']
Q273059|['most_picturesque', 'best_climate', 'most_friendly_locals', 'most_friendly_locals', 'low_cost_of_living_high_life_quality', 'job_opportunities', 'best_for_expats', 'good_internet', 'good_for_sailing', 'good_for_sailing', 'good_for_surfing', 'good_for_surfing', 'best_beaches', 'no_mosquitos', 'hipster', 'socialize', 'skydiving', 'good_for_families', 'for_young_people', 'beautiful_nature']
Q512030|['most_picturesque', 'best_climate', 'most_friendly_locals', 'most_friendly_locals', 'low_cost_of_living_high_life_quality', 'job_opportunities', 'best_for_expats', 'good_internet', 'good_for_sailing', 'good_for_sailing', 'good_for_surfing', 'good_for_surfing', 'best_beaches', 'no_mosquitos', 'hipster', 'socialize', 'skydiving', 'good_for_families', 'for_young_people', 'beautiful_nature']
Q33662219|['most_picturesque', 'best_climate', 'most_friendly_locals', 'most_friendly_locals', 'low_cost_of_living_high_life_quality', 'job_opportunities', 'best_for_expats', 'good_internet', 'good_for_sailing', 'good_for_sailing', 'good_for_surfing', 'good_for_surfing', 'best_beaches', 'no_mosquitos', 'hipster', 'socialize', 'skydiving', 'good_for_families', 'for_young_people', 'beautiful_nature']
Q504580|['most_picturesque', 'best_climate', 'most_friendly_locals', 'best_schools', 'interesting_historic_buildings', 'good_healthcare', 'good_food', 'skiing', 'camping', 'beautiful_nature']
Q49281908|['most_picturesque', 'best_climate', 'most_friendly_locals', 'best_schools', 'interesting_historic_buildings', 'good_healthcare', 'good_food', 'skiing', 'camping', 'beautiful_nature']
Q45412|['most_picturesque', 'best_climate', 'most_friendly_locals', 'best_schools', 'least_crime', 'low_cost_of_living_high_life_quality', 'job_opportunities', 'interesting_historic_buildings', 'best_for_expats', 'good_healthcare', 'good_for_sailing', 'good_food', 'clean', 'no_mosquitos', 'retire', 'socialize', 'camping', 'skydiving', 'good_business', 'for_young_people', 'beautiful_nature']
Q244517|['most_picturesque', 'best_climate', 'most_friendly_locals', 'best_schools', 'least_crime', 'low_cost_of_living_high_life_quality', 'job_opportunities', 'interesting_historic_buildings', 'best_for_expats', 'good_healthcare', 'good_for_sailing', 'good_food', 'clean', 'no_mosquitos', 'retire', 'socialize', 'camping', 'skydiving', 'good_business', 'for_young_people', 'beautiful_nature']
Q179948|['most_picturesque', 'best_climate', 'best_schools', 'low_cost_of_living_high_life_quality', 'job_opportunities', 'interesting_historic_buildings', 'good_food', 'clean', 'no_mosquitos', 'hipster', 'retire', 'socialize', 'socialize', 'camping', 'skydiving', 'good_business', 'good_for_families', 'for_young_people', 'beautiful_nature']
Q274118|['most_picturesque', 'best_climate', 'best_schools', 'low_cost_of_living_high_life_quality', 'job_opportunities', 'interesting_historic_buildings', 'good_food', 'clean', 'no_mosquitos', 'hipster', 'retire', 'socialize', 'socialize', 'camping', 'skydiving', 'good_business', 'good_for_families', 'for_young_people', 'beautiful_nature']
Q3349362|['most_picturesque', 'best_climate', 'best_schools', 'low_cost_of_living_high_life_quality', 'job_opportunities', 'interesting_historic_buildings', 'good_food', 'clean', 'no_mosquitos', 'hipster', 'retire', 'socialize', 'socialize', 'camping', 'skydiving', 'good_business', 'good_for_families', 'for_young_people', 'beautiful_nature']
Q63378409|['most_picturesque', 'best_climate', 'best_schools', 'low_cost_of_living_high_life_quality', 'job_opportunities', 'interesting_historic_buildings', 'good_food', 'clean', 'no_mosquitos', 'hipster', 'retire', 'socialize', 'socialize', 'camping', 'skydiving', 'good_business', 'good_for_families', 'for_young_people', 'beautiful_nature']
Q159457|['most_picturesque', 'best_climate', 'most_friendly_locals', 'best_schools', 'low_cost_of_living_high_life_quality', 'job_opportunities', 'interesting_historic_buildings', 'best_for_expats', 'best_for_expats', 'good_healthcare', 'good_for_sailing', 'good_food', 'good_english', 'no_mosquitos', 'bird_watching', 'hipster', 'retire', 'socialize', 'socialize', 'skydiving', 'good_business', 'good_for_families', 'for_young_people', 'beautiful_nature']
Q244521|['most_picturesque', 'best_climate', 'most_friendly_locals', 'best_schools', 'low_cost_of_living_high_life_quality', 'job_opportunities', 'interesting_historic_buildings', 'best_for_expats', 'best_for_expats', 'good_healthcare', 'good_for_sailing', 'good_food', 'good_english', 'no_mosquitos', 'bird_watching', 'hipster', 'retire', 'socialize', 'socialize', 'skydiving', 'good_business', 'good_for_families', 'for_young_people', 'beautiful_nature']
Q31798360|['most_picturesque', 'best_climate', 'most_friendly_locals', 'best_schools', 'low_cost_of_living_high_life_quality', 'job_opportunities', 'interesting_historic_buildings', 'best_for_expats', 'best_for_expats', 'good_healthcare', 'good_for_sailing', 'good_food', 'good_english', 'no_mosquitos', 'bird_watching', 'hipster', 'retire', 'socialize', 'socialize', 'skydiving', 'good_business', 'good_for_families', 'for_young_people', 'beautiful_nature']
Q33672755|['most_picturesque', 'best_climate', 'most_friendly_locals', 'best_schools', 'low_cost_of_living_high_life_quality', 'job_opportunities', 'interesting_historic_buildings', 'best_for_expats', 'best_for_expats', 'good_healthcare', 'good_for_sailing', 'good_food', 'good_english', 'no_mosquitos', 'bird_watching', 'hipster', 'retire', 'socialize', 'socialize', 'skydiving', 'good_business', 'good_for_families', 'for_young_people', 'beautiful_nature']
Q635552|['most_picturesque', 'best_climate', 'best_schools', 'interesting_historic_buildings', 'good_healthcare', 'retire']
Q936904|['most_picturesque', 'best_climate', 'best_schools', 'interesting_historic_buildings', 'good_healthcare', 'retire']
Q1018826|['most_picturesque', 'best_climate', 'best_schools', 'interesting_historic_buildings', 'good_healthcare', 'retire']
Q1402950|['most_picturesque', 'best_climate', 'best_schools', 'interesting_historic_buildings', 'good_healthcare', 'retire']
Q552015|['most_picturesque', 'best_climate', 'least_crime', 'good_for_families']
Q2258063|['most_picturesque', 'best_climate', 'least_crime', 'good_for_families']
Q983483|['most_picturesque', 'best_climate', 'most_friendly_locals', 'best_schools', 'good_healthcare', 'skiing', 'retire', 'good_for_families']
Q1022863|['most_picturesque', 'best_climate', 'most_friendly_locals', 'best_schools', 'good_healthcare', 'skiing', 'retire', 'good_for_families']
Q1537043|['most_picturesque', 'best_climate', 'most_friendly_locals', 'best_schools', 'good_healthcare', 'skiing', 'retire', 'good_for_families']
Q273533|['most_picturesque', 'best_climate', 'most_friendly_locals', 'best_schools', 'low_cost_of_living_high_life_quality', 'job_opportunities', 'interesting_historic_buildings', 'good_healthcare', 'no_mosquitos', 'skiing', 'retire', 'socialize', 'skydiving', 'good_for_families', 'beautiful_nature']
Q750594|['most_picturesque', 'best_climate', 'most_friendly_locals', 'best_schools', 'low_cost_of_living_high_life_quality', 'job_opportunities', 'interesting_historic_buildings', 'good_healthcare', 'no_mosquitos', 'skiing', 'retire', 'socialize', 'skydiving', 'good_for_families', 'beautiful_nature']
Q17294199|['most_picturesque', 'best_climate', 'most_friendly_locals', 'best_schools', 'low_cost_of_living_high_life_quality', 'job_opportunities', 'interesting_historic_buildings', 'good_healthcare', 'no_mosquitos', 'skiing', 'retire', 'socialize', 'skydiving', 'good_for_families', 'beautiful_nature']
Q49277509|['most_picturesque', 'best_climate', 'most_friendly_locals', 'best_schools', 'low_cost_of_living_high_life_quality', 'job_opportunities', 'interesting_historic_buildings', 'good_healthcare', 'no_mosquitos', 'skiing', 'retire', 'socialize', 'skydiving', 'good_for_families', 'beautiful_nature']
Q170903|['most_picturesque', 'best_climate', 'most_friendly_locals', 'best_schools', 'low_cost_of_living_high_life_quality', 'job_opportunities', 'interesting_historic_buildings', 'good_healthcare', 'good_food', 'no_mosquitos', 'skiing', 'socialize', 'good_business', 'good_for_families', 'for_young_people', 'beautiful_nature']
Q990385|['most_picturesque', 'best_climate', 'low_cost_of_living_high_life_quality', 'job_opportunities', 'interesting_historic_buildings', 'best_beaches', 'on_island', 'good_english', 'no_mosquitos', 'good_for_families']
Q1630175|['most_picturesque', 'best_climate', 'low_cost_of_living_high_life_quality', 'job_opportunities', 'interesting_historic_buildings', 'best_beaches', 'on_island', 'good_english', 'no_mosquitos', 'good_for_families']
Q4412409|['most_picturesque', 'best_climate', 'low_cost_of_living_high_life_quality', 'job_opportunities', 'interesting_historic_buildings', 'best_beaches', 'on_island', 'good_english', 'no_mosquitos', 'good_for_families']
Q49354018|['most_picturesque', 'best_climate', 'low_cost_of_living_high_life_quality', 'job_opportunities', 'interesting_historic_buildings', 'best_beaches', 'on_island', 'good_english', 'no_mosquitos', 'good_for_families']
Q206933|['most_picturesque', 'best_climate', 'best_schools', 'low_cost_of_living_high_life_quality', 'job_opportunities', 'interesting_historic_buildings', 'best_for_expats', 'good_healthcare', 'good_for_sailing', 'good_food', 'no_mosquitos', 'socialize', 'skydiving', 'good_business', 'good_for_families', 'for_young_people', 'beautiful_nature']
Q244512|['most_picturesque', 'best_climate', 'best_schools', 'low_cost_of_living_high_life_quality', 'job_opportunities', 'interesting_historic_buildings', 'best_for_expats', 'good_healthcare', 'good_for_sailing', 'good_food', 'no_mosquitos', 'socialize', 'skydiving', 'good_business', 'good_for_families', 'for_young_people', 'beautiful_nature']
Q2368485|['most_picturesque', 'best_climate', 'best_schools', 'low_cost_of_living_high_life_quality', 'job_opportunities', 'interesting_historic_buildings', 'best_for_expats', 'good_healthcare', 'good_for_sailing', 'good_food', 'no_mosquitos', 'socialize', 'skydiving', 'good_business', 'good_for_families', 'for_young_people', 'beautiful_nature']
Q586722|['most_picturesque', 'best_climate', 'best_schools', 'good_healthcare', 'skiing', 'hipster']
Q49286086|['most_picturesque', 'best_climate', 'best_schools', 'good_healthcare', 'skiing', 'hipster']
Q917535|['most_picturesque', 'best_schools', 'job_opportunities', 'best_for_expats', 'good_healthcare', 'good_for_sailing', 'hipster', 'good_business', 'for_young_people']
Q2451252|['most_picturesque', 'best_schools', 'job_opportunities', 'best_for_expats', 'good_healthcare', 'good_for_sailing', 'hipster', 'good_business', 'for_young_people']
Q35719701|['most_picturesque', 'best_schools', 'job_opportunities', 'best_for_expats', 'good_healthcare', 'good_for_sailing', 'hipster', 'good_business', 'for_young_people']
Q551693|['most_picturesque', 'best_schools', 'good_healthcare', 'skiing', 'hipster']
Q1998429|['most_picturesque', 'best_schools', 'good_healthcare', 'skiing', 'hipster']
Q289852|['most_picturesque', 'best_schools', 'good_healthcare', 'skiing', 'hipster']
Q2359720|['most_picturesque', 'best_schools', 'good_healthcare', 'skiing', 'hipster']
Q18431047|['most_picturesque', 'best_schools', 'good_healthcare', 'skiing', 'hipster']
Q49286541|['most_picturesque', 'best_schools', 'good_healthcare', 'skiing', 'hipster']
Q841299|['most_picturesque', 'most_friendly_locals', 'good_healthcare', 'good_for_surfing', 'good_for_surfing', 'good_food', 'skiing', 'hipster', 'for_young_people', 'beautiful_nature']
Q2260978|['most_picturesque', 'most_friendly_locals', 'good_healthcare', 'good_for_surfing', 'good_for_surfing', 'good_food', 'skiing', 'hipster', 'for_young_people', 'beautiful_nature']
Q712064|['best_climate', 'least_crime', 'interesting_historic_buildings']
Q1998437|['best_climate', 'least_crime', 'interesting_historic_buildings']
Q558610|['best_climate', 'best_schools', 'least_crime', 'interesting_historic_buildings', 'skiing', 'camping']
Q1997716|['best_climate', 'best_schools', 'least_crime', 'interesting_historic_buildings', 'skiing', 'camping']
Q782784|['best_climate', 'least_crime', 'live_well_without_car', 'clean', 'hipster', 'retire']
Q891820|['best_climate', 'least_crime', 'live_well_without_car', 'clean', 'hipster', 'retire']
Q31924170|['best_climate', 'least_crime', 'live_well_without_car', 'clean', 'hipster', 'retire']
Q893339|['best_climate']
Q31924457|['best_climate']
Q1000037|['best_climate', 'good_for_families']
Q34790334|['best_climate', 'good_for_families']
